idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
"DAVRA OLMOQ (YASAMOQ, QURMOQ) 1",,doira shaklida tizilmoq; qurshov olib o’tirmoq.,,,,,,,"Sakkiz yuz odam har tarafdan davra olib, kiyikni tutmoqchi bo’ldi.",,
DAVRI O’TMOQ,kimning? yoki nimaning?,"obro’sizlanib qolmoq, aytganini qildira olmaslik.",,,,,,,Mahamadsherning endi davri o’tib qolgan edi.,S.Anorboyev,Sayli
DASHNOM BERMOQ,kim? kimga?,"nojo’ya ishi, xatti-harakati uchun achchiq gap, tanbeh so’zlari aytmoq.",,,,dakki bermoq,"dakki yemoq; degan(i) – degan, aytgan(i) –",,"Bu traktorist menga shuncha dashnom berib, ko’ngil uchun bir marta «ta’bir joyiz ko’rilsa» demadi. «Ko’rdingmi, qizim, mana shu kiygan narsang ipakdan, tut bargidan bo’lgan», – deb qizga dashnom bera boshladi. Roziya xola.",N.Nazarov,Zamon
DEVONA BO’LMOQ,kim?,"nima qilishini bilmay, sarson bo’lmoq.",,,,,,,"Ey, dilrabo ishqing bilan devona bo’ldim sog’inib, Bulbul kabi tun kechalar giryona bo’ldim sog’inib.",Hamza.,
DEVONA QILMOQ,kim? kimni?,kuydirmoq,,,,,,,". Qo’y gapirma, topgan qizing meni devona qiladiganga o’xshaydi. Har kuni bir qiliq chiqaradi.",,
DEVONALIK QILMOQ,kim?,"bilib-bilmaslikka solib hazillashmoq, laqillatmoq; yengillik qilmoq.",,,,,,,"Devonalik qilma, qizim, Boyning aytganiga ko’nsang, og’ziburning moy bo’ladi",,
DEVOR BO’LIB QOLMOQ,kim?,qo’rqinch yoki hayratdan rangi oqarib serrayib turmoq.,,,,qotib qolmoq; taxtaday (yog’ochday) qotmoq,,,Bir zumdan keyin yana qaytib kirdi-da: «…darrov dasturxon tuzanglar» – dedi. Hayotxon rang-pangi o’chib devor bo’lib qotib qoldi,M.Ismoiliy,Farg’ona tong otguncha
DEVOR BO’LSA HAM KO’CHANI KO’RADI,,"juda ayyor, o’z ishiga puxta odam.",,,,,,,"Kecha siz bilan kelayotgan kishi anoyi emas. Devor bo’lsa ham ko’chani ko’radigan, pixini yorgan odam ko’rinadi…",Mushtum.,
DEVORGA TANBUR CHERTGANDAY,kim?,"birovning gapi, nasihati e’tiborsiz qolganda ishlatiladigan ibora.",,,qulog’iga tanbur; chertganday,,,,"Madina hech narsani eshitmas, onasining so’zlari devorga tanbur chertganday edi. Ammo ona buni tushunishni xohlamas, qiziga nasihat qilishdan to’xtamasdi.",,
DEVORGA TAQAMOQ,,"shoshirib, gangitib qo’ymoq; taslim bo’lishga majbur qilmoq.",,,,,,,"Bora-bora Qoracha Hojibning hazillari siyqalashib, hammaning ensasini qotira boshladi. Oysuluv esa yangi-yangi so’zlar, o’xshatishlar topib, raqibini devorga taqab qo’ydi.",M.Osim,O’tror
DEVORNING KOVAGIDA YOTMOQ,kim?,odamlarga aralashmaslik.,,,,,,,"Biz devorning kovagida yotgan bir odam-da. O’zimiz kim-u, ismimiz nima bo’lar edi…",A.Qodiriy,Mehrobdan chayon
DID(I) BALAND,kimning?,"go’zallikni, nafislikni his etishi o’ta taraqqiy qilgan.",,,,,,,"Kirgan kishiga eng avval uy egalarining didi baland ekanligi, toza, pok hayot kechirishlari ko’zga chalinar edi. U ro’parasida didi baland, o’z ideasiga qattiq ishongan va uni dadil himoya qiladigan yigit o’tirganini his etdi.",S.Nazar,Yashil boylik
DIDIGA TO’G’RI KELMOQ,,yoqtirmoq.,,,,,,,"Ma’qul, ma’qul didimga to’g’ri keldi",,
DIDI YO’Q,,tanlay olmaydigan kishi,,,,,,,". O’g’limiz biroz didi yo’qroq bunaqa narsalarga, aybga qo’shmaysiz…",Saodat.,
DID(I)GA O’TIRMASLIK,kim? kimning?,"yoqinqiramaslik, ma’qul kelmaslik.",,,,,,,"Lekin yolg’iz bitta odam – inspektor Orif Saidov uning didiga o’tirmay qolgan E boring-e, bizning didga o’tiradigan qizlar hali onasidan tug’ilmagan bo’lsa nima qilaylik…",A.Muhiddin,Qitmir
DIDINI BERMOQ,,"o’xshab ketmoq, o’xshab ko’rinmoq.",,,,,,,O’zi yosh bo’lsa ham oltmish yashar cholning didini beradi.,,
DIDINGGA QOYILMAN,,tanlashingga ofarin; tanlashni bilmabsan (piching),,,,,,,". E didingizga qoyilman, Sobirjon. Bozorga borib shu piyozni ko’tarib keldingizmi?",,
DIL(I)NI SIYOH QILMOQ,kim? yoki nima? kimning?,xafa bo’lmoq.,,,DIL(I) SIYOH BO’LDI; ko’ngl(i) qora bo’ldi; – ko’ngl(i)ni qora qilmoq,,,,"Qorasochning dili siyoh bo’lib, birdan xo’rligi keldi. Ayniqsa hosilotning majlisda «takasaltang», «nomard» degani uning qorniga qoziq qoqqandek dilini siyoh qildi Shunday qilib desangiz, kecha mana shunaqangi dili siyohlik bo’lib o’tgan. Hozir ko’chaga chiqib shularni o’ylab yuragim qisilib ketdi.",S.Ahmad,Qaytish
DIL(I) SIYOH,kimning?,xafa.,,,,,,,Tongdan buyon dilim siyoh... Yomon tush ko’rdim.,,
"DILI (KO’NGLI, TA’BI) XUFTON",,ko’ngli g’ash; xafa.,,,,,,,"Bo’rining dili xufton bo’ldi. Ko’nglim birdan xufton bo’lib, o’zimni haqoratlangandek sezdim.",M.Qoriyev,Oydin kechalar
DILIDA KIRI YO’Q,kimning?,g’arazsiz.,,,,,,,"Axir, o’zing kimsan? – Men dilida kiri yo’q, ma’qulgina odamman, ammo qarolday kambag’alman. .",,
DIL(I)DA SIYOHLIK BOR,kimning?,xafa.,,,,dil(i) siyoh,,,"Yo tanida noxushlik, yoxud dilida siyohlik bordir? .",,
DILIDA TUTMOQ,kim?,"biron fikrni gapirmay, hech kimga bildirmay yurish.",,,,,,,"Dod-voyning keragi yo’q, dedi qat’iy ellikboshi, – bu sirni dilingda tut. Uch-to’rt kun ichida daragi chiqib qoladi",,
DILIDAN CHIQARMOQ,,o’z roziligi bilan berishni ma’qul ko’rmoq.,,,,,,,Salimjon yo’lda ketayotganda gadoyga besh-to’rt tangani dilidan chiqarib uzatdi…,,
DIL(I)GA JO QILIB OLMOQ,kim? nimani?,hech qachon unutmaydigan qilib mustahkamlamoq.,,,,,,,"G’ulomjon bir ko’rishda diliga jo qilib olgan dilbar siymoni ko’rdi-yu, birdan vujudida yugurgan nest qiluvchi qaltiroqdan o’zini yo’qotib qo’ya yozdi. ..bu yangi so’zni takrorladi, bu takrorlash bilan qalbiga jo qilib oldi.",Sh.Toshmatov,Erk qushi
DILINI RAVSHAN QILMOQ,kimning?,xursand qilmoq.,,,,,,,Yomg’irdan keying musaffo havo Qumrining dilini ravshan qilgandek bo’ldi.,S.Ahmad,Oydin kechalar
DILINI VAYRON QILMOQ,,ishonchini poymol qilmoq; o’ta ranjimoq,,,,,,,". Dilingni vayron qilganman, yuragingda uyg’onib kelayotgan birinchi muhabbat hislarini oyoq ostiga olib tepkilaganman.",S.Ahmad,Sevgingga sodiqman
DIMOG’ BILAN GAPIRMOQ,kim? kimga?,kekkayib so’zlamoq,,,,,,,". Mansabga o’tirganiga sal bo’ldiyu, dimog’ bilan gapiradi-ya, xumpar.",Mushtum.,
DIMOG’(I) BALAND,kimning?,"kibr-havoli, kekkaygan, kalondimog’.",,,,,,,"Yo’q. Sal fursatda insofga kelib, ishga sho’ng’ib ketdi. Ammo lekin dimog’i baland. Birov buyurgan ishni qilmaydilar. Bir oy sog’inib yashaydi keyin. Komil degan nom o’chadi, butunlay o’chadi. Dimog’i baland edi-ya, men uni kurortga yuboribman-u, u meni fosh qilmoqchi bo’libdi.",T.Malik,Charxpalak
DIMOG’I KUYMOQ,kimning?,xafa.,,,,,,,"Xo’sh, yana dimog’ingiz kuygan ko’rinadimi?",,
– DIMOG’(I)NI CHOG’ QILMOQ,kim? (o’zining),kayfiyati yaxshilandi.,,,DIMOG’(I) CHOG’ BO’LDI,,,,"bilan? – kimning? nimadan? kimning? nimadan? – nima? kimning? «Xayriyat», – dedi mulla. Endi dimog’i biroz chog’ bo’lgan edi Bugun chap yoning bilan turganga o’xshaysan, buni hidlab, dimog’ingni chog’ qil.",H.Nazir,Odamning qadri
DIMOG’(I) CHOG’,kimning?,kayfiyati yaxshi.,,,dimog’­lar; chog’(–,kayf(i) chog’; vaqt(i) chog’; ko’ngil chog’ (–),,,"Xo’sh, tinchmisiz? Dimog’ingiz chog’mi? «Qalay, dimog’laring chog’mi?» – so’radi u. Hech kimning beli ham og’rimadi, yuragiga qil sig’maydigan payti ham bo’lmadi, aksincha, hamma sog’, dimog’lar chog’ edi",A.Qahhor,Kampirlar sim qoqdi
– DIMOG’(I)NI SHISHIRMOQ,nima? kimning?,"kibrlanmoq, gerdaymoq.",,,DIMOG’(I) SHISHDI; shi­shib ketgan (–),burn(i) ko’tarildi,,,«Direktor bo’lganidan keyin dimog’i shishib ketibdi» degan ma’noda gap boshlayman. Bu bezotning dimog’ini shishirgan shu narsa!,A.Qahhor,Qo’shchinor chiroqlari
DIMOG’(I)DA OSH PISHADI,kimning?,"o’ta darajada kekkayib, kibrhavoli bo’lmoq.",,,,dimog’(i); ga qurt tushdi; dimog’(i); dan eshak qurti yog’iladi; dam(i)da osh pishadi,,,Ahmad Rustamov Pyotr Mixaylovichning nevarasi bilan teng. Hali uning mingdan bir ishini ham qilgani yo’q. Ammo uning dimog’ida osh pishadi,I.Rahim,Olovkor
DIMOG’IGA SUV PURKAMOQ,,"kekkayishga, takabburlanishga vosita bo’lish.",,,,,,,Bunaqa kishilarning dimog’iga kim suv purkab qo’yarkin?!,Mushtum.,
DIMOG’(I)DAN ESHAK QURTI YOG’ILADI,kimning?,"o’ta darajada kekkayib, kibr-havoli bo’lmoq.",,,burn(i)dan eshak qurti; yog’iladi,dimog’(i)ga; qurt tushdi; dimog’(i)da osh; pishadi; dam(i)da osh pishadi,,,"Boboxo’ja domla mudirlik vazifasiga o’tgandan beri, qorovul aytgancha, dimog’idan eshak qurti yog’iladigan bo’lib qolgan edi.",P.Tursun,O’qituvchi
DIMOG’IDAN KO’TARMOQ,,[dïmağïdan kötär=] tar.,,,,,,,"? Ey o’g’lum, bu xayoli muholni dimog’ingdan ko’targil, qanoat ayog’in salomat etakina chekib o’turg’il!",S.Saroyi,Gulistoni bit-turkiy
DIMOG’IDAN QOR YOG’MOQ,kimning?,"xomush o’tirmoq, xafa bo’lib yurmoq.",,,,,,,"…u har kirib chiqqanida bir et-bir et tushar, dimog’idan qor yog’ar va alamiga chiday olmasdan po’ng’illab o’tardi",H.Shams,Dushman
DIMOG’(I)GA QURT TUSH-,,"o’ta darajada kekkayib, kibr-havoli bo’lmoq.",,,,dimo­g’(i)dan eshak qurti yog’iladi; dimog’(i)da osh pishadi; dam(i)da osh pishadi,,,...mudarris o’ziga mahram qilib oldi. Ana shundan keyin Mamarayim afandining dimog’iga qurt tushdi,M.Ismoiliy,Farg’ona tong otguncha
DININI YUTMOQ,,ko’ra-bila yolg’on gapirmoq,,,,,,,". E qo’ysangchi, Ahmadjon arzimas narsa uchun dinini yutarmidi?",,
DIQQAT BO’LMOQ,,"bo’g’ilmoq, siqilmoq; zerikmoq.",,,,,,,"Shu bugun kechqurun haligiday diqqat bo’lib o’tirganida, yana Latofatxon esiga tushib, bir fikrga keldi.",A.Qahhor,Asarlar
DIQQAT QILMOQ,kim?,asabiylashtirmoq,,,,,,,". Shunchalik gap ekan, muncha o’zini ham diqqat qilib, xizmatchilarini ham ortiq bog’masa…",S.Abdulla,O’rtoq Xolnazarov
– DIQQAT(I)NI OSHIRMOQ,kim? kimning?,"yomon kayfiyati, xafaligi, xunobligi kuchaydi.",,,DIQQATI OSHDI,,,,"Bek o’z nufuzini yo’qotib borayotganidan diqqati oshib, ich-etini yeb yurgan bir paytda nahotki ziyofatga boshlab kelingan hofizlar ham josuslar bo’lib chiqsa, astag’furullo. Shu kunlari onaning juda diqqati oshgan, chunki bir og’iz solingandan keyin jimjit, suv quyganday, fotiha ham yo’q. Barno ortiqcha kuttirib, hammaning diqqatini oshirganini bilib... boshqasini so’ray qoling», dedi yalingansimon.",H.Nazir,O’jar qizlar
DIQQAT(I)NI TORTMOQ,kim? kimning? o’ziga; kim? kimning? nimaga? nima? kimning? [o’ziga],"nazarini, fikrini qaratmoq.",,,diqqat(i)ni jalb qilmoq; e’tibor(i)ni tortmoq; e’tibor(i)ni jalb qilmoq,,,,"o’ziga; nima? kimning? [o’ziga] nima? kimning?[o’ziga] Bu so’roq Botirning diqqatini torta boshladi. Martaba, boylik uni boshqa hamma erkaklardan ajratishi, Munisxonning diqqatini jalb qiladigan o’ringa qo’yishi kerak edi. So’ng chetdagilarning e’ tiborini o’ziga tortmaslik uchun gapni to’xtatdi. Yozuv tushgacha o’tgan-ketganning e’tiborini o’ziga tortib paykalning boshida turdi. Siddiqjonning sobiq xotini kelib qilgan mojaro o’sha vaqtda odamlarning e’tiborini uncha tortmagan bo’lsa ham, bu mojaro qorining ming bir qilmishi",A.Qahhor,Qo’shchinor chiroqlari
DIQQINAFAS BO’LMOQ,kim?,"yuragi siqilib asabiylashmoq; bo’g’ilmoq; xunob bo’lmoq, xunobi oshmoq; zerikmoq.",,,,,,,Kasaldan so’ng diqqinafas bo’lib yurgan Hafiza erta bilan odatdagidek o’qishga bordi.,,
DIQQINAFAS QILMOQ,nima? kimni?,"juda zeriktirmoq, bezor qilmoq.",,,,,,,"To’g’risini aytganda, bunday mehmondorchiliklar Anzirat xolani toza diqqinafas qilayotgan edi.",,
DIYDA(SI) QATTIQ,kimning?,"berahm, bemehr; ko’ziga yosh kelmaydi.",,,,,,,"Cho’lda musofirchilikda diydasi qattiq bo’lib qolibmanmi, do’stlarim qarab turgani uchunmi, dadam singari ko’z yoshi to’kmadim.",I.Rahim,Olovkor
DIYDA(SI) QOTIB QOLGAN,kimning?,ko’raverib ko’nikkanidan ko’ziga yosh kelmaydigan bo’lib qolgan.,,,,qarog’i qotmoq,,,"U vaqt …akamni otdilar, otam surgunda o’ldi... O’shanda o’limni ko’raverib, diydam qotib qolgan ekanmi",A.Muxtor,Opa-singillar
DIYDA(SI) USTIDA SAQLAMOQ,kim? [o’zining?] kimni?,yuksak darajada ardoqlamoq.,,,,,,,"Haligacha jirkanib, xo’r tutilgan o’g’limga ham hech kim shamolni ravo ko’rmay, diydasining ustida saqlab, hurmat qiladigan bo’lib qoldi.",,
DIYDA USTIGA,,"marhamat, bosh ustiga, xush kelibsiz",,,,,,,". Sizning bilan bo’lsin endi davronim, Diydamning ustiga, aziz mehmonim",,
DIYDASI BO’SH,kimning?,"ko’ngli bo’sh, rahmdil, yig’loqi.",,,,,diydasi qattiq,,"To’g’ri, biz xotinlarning diydamiz bo’shroq bo’ladi, ba’zan yig’lab yurakni bo’shatadi.",,
DIYDASI QATTIQ,kimning?,"ko’ngli qattiq, berahm; ko’ziga yosh kelmaydigan.",,,,,,,"Men erkaklarning diydasi qattiq bo’ladi deb eshitar, o’zim ham shunga ishonar edim",M.Ismoiliy,Farg’ona tong otguncha
DIYDOR G’ANIMAT,,o’tkinchi dunyoda tez-tez ko’rishib uchrashib turish kerakligi ma’nosida ishlatiladigan ibora.,,,,,,,"Odam omonat, diydor – g’animat. Bu gaplarni qo’ying, jonim. Diydor g’animat, bu besh kunlik dunyoda o’ynab-kulaylik.",,
DIYDOR KO’RISHMOQ,kimlar? kim? kim bilan?,bir-birini orada ancha vaqt o’tgandan keyin ko’rmoq.,,,,,,,"«Xayr, yaxshi boring! – Hanifa ham qo’lini silkidi. – Diydor ko’rishguncha». Usmon ota diydor ko’rishish ishtiyoqida sabri tugab, otiga qamchi bosdi.",A.Qahhor,Qo’shchinor chiroqlari
DIYDOR(I)GA MUYASSAR ETMOQ,kimning?,"diydor ko’rsatmoq, yuz ko’rsatmoq",,,,,,,. Oxiri o’z diydoriga muyassar qilgan qutlug’ va sharafli kun keldi,,
DIYDOR(I)GA TO’YMOQ,kim? kimning?,sog’ingan kishisi bilan qoniqquncha yuzma-yuz birga bo’lmoq.,,,,,,,"Voy bolam-ey, kelganingdan buyon ko’chadan beri kelmaysan-a, bundoq birpasgina diydoringga to’yib gaplasholmayman. Dadasi kelgandan beri qimir etmay, doim shu taxlitda, bir-birlarining diydoriga to’ymay, bir-biriga termilishib o’tirishgan bo’lsa kerak.",S.Anorboyev,Oqsoy
DIYDOR(I)GA ZOR BO’LMOQ,kim? kimning?,"o’ziga yaqin, sog’ingan insonini ko’rishga mushtoq bo’lmoq.",,,,,,,Lekin faqat diydoringga bo’lib zor To’planishdik hamma ortiq beqaror. Sening sovuq diydoringga unchalik zor emas edim.,H.Olimjon,G’G’ulom
DIYONATINI YUTMOQ,kim?,"vijdonsizlik qilmoq, vijdonsizlarcha ish tutmoq.",,,,,,,"Men hali diyonatimni yutgan emasman, menda ham insof bor, vijdon bor…",S.Ahmad,Sud
DOD SOLMOQ,kim?,"dod-voy qilmoq, qichqirmoq.",,,dod; ustiga dod solmoq,,,,"Nega oyim: «Dod solaman», – dedi-yu, keyin jim bo’lib qoldi? Begona xotin ayvonga chiqib, dod ustiga dod soldi. .",Sh.Toshmatov,Erk qushi
DODIGA YETMOQ,kimning?,"arzini tinglamoq, yordam bermoq.",,,,,,,Biz kambag’allarning dodiga kim yetarkin…,N.Safarov,Navro’z
DOD(I)NI BERMOQ,kim? kimning?,haqqoniy ravishda jazolamoq.,,,,,,,"To’xtab tursin, hali uyga borar-ku, bir dodini beray deyman. O’z-o’zim bilan so’zlashaman. Bo’taboy ancha ish ko’rgan, ko’p kurashlarda chiniqqan. Yorqishloqliklarning ta’biri bilan aytganda, «islohotda mushtumzo’rlarning dodini bergan» yigit edi.",S.Ahmad,Hukm
DOD(I)NI BERMOQ,kim? kimning?,"qirib tashlamoq, ko’plab o’ldirmoq.",2,,,,,,"Olimjon aka, juda merganga o’xshaysiz, qushlarning dodini beribsiz, kasbingiz ovchilik deyman?",,
DOD(I)NI BERMOQ,kim? kimning?,"mag’lub qilmoq, qatorasiga yutmoq.",3,,,,,,"Yaqinda Toshkentda milliy kurash bo’yicha musobaqa bo’ladimi? O’shanga borsam, bir qozog’istonlik polvon kurashda, hammaning dodini beryapti.",S.Anorboyev,Oqsoy
DOD(I)NI BERMOQ,kim? kimning?,oh-voh qilishiga olib kelmoq.,4,,,,,,"Tilini moylab, ko’zingni boylab, uyingga kirib olgach, dodingni bermasmikin. Ular chindan ham bir haftadan beri … sherdek olishib, nechasining jonini jahannamga yuborib, uyasiga o’t qo’yib, dodini berib yurishgan ekan-ku.",O.Yoqubov,Ota izidan
DOM-DARAKSIZ KETMOQ,kim?,"yo’qolib ketmoq, yo’q bo’lib ketmoq.",,,,,,,Uch kun dom-daraksiz yo’qolib ketdingiz,,
"DOMI HAM YO’Q, DARAGI HAM YO’Q",kimning?,butunlay xabarsiz ketmoq.,,,,,,,"O’shandan beri uning domi ham yo’q, daragi ham yo’q.",U.Ismoilov,Rustam
DOMIGA ILINMOQ,kimning?,ta’sir doirasida bo’lmoq.,,,,domiga tushmoq; domiga tushmoq,,,"Ahmoq bo’lmasam shularning hiylasiga laqqa tusharmidim, Akramning domiga ilinarmidim",O.Yoqubov,"Aytsam tilim kuyadi, aytmasam – dilim"
DOMINGIZDIN QUTULMAS,,[damiŋizdin qutulma=] tar.,,,,,,,"Vale ko’ngul qutulmas domingizdin, Qamuq shakkar tomar dashnomingizdin.",,
DON OLISHMOQ,kim? kim bilan?,"yaqin aloqada bo’lmoq, yaqindan aloqa bog’lamoq.",,,,,,,... qishloqdagi Oynisa degan qiz bilan don olishib yurgan edi. Qiz bilan don olishgan yigit kim?,S.Ahmad,Cho’l burguti
DONG’ CHIQARMOQ,kim? nima bilan? yoki nimada?,ma’lum mashhur bo’lmoq.,,,DONG’(I) CHIQDI,nom(i) chiqdi; nom chiqarmoq; dong’(i) ketdi,,,Bu yerda uni hamma biladi. Tuproq qazishda azamatligi bilan dong chiqargan. Beshyog’och yigitlari ko’ppaklar boqishda dong chiqargan.,,
DONG’(I) KETDI,kimning?,ma’lum mashhur bo’lmoq.,,,"dong’(i) Dog’iston ketdi, dovrug’(i); ketdi","dong’(i) chiqdi; dong chiqarmoq; nom(i); chiqdi; nom chiqarmoq; dovrug’i doston bo’lmoq, dovrug’; solmoq",,,"bilan? nimada? kimning? kim? Ba’zi bemorlarni, yara-chaqani suvda davolagach, unga ixlos kuchaydi. Atrofga uning dong’i ketdi Bersa, shunday odamga beradi. Qayeri kam? Kimsan dong’i ketgan Rixsiboy hosildorning o’g’li-ya.",R.Fayziy,Cho’lda bahor keldi
DORDAN QOCHGAN,kim?,"firibgar, qallob, yaramas, muttaham.",,,,,,,"Ha, rostda! Buxgaltering muttaham!..Zavxozlaring o’g’ri!.. Ekspeditorlaring dordan qochgan!!",,
DORIGA HAM TOPILMAYDI,nima?,"noyob, hech yo’q; sira ham yo’q",,,,,,,. Kecha siz aytgan narsa doriga ham topilmaydiganga o’xshaydi,,
DOSTON BO’LMOQ,kimning?,shuhrati keng yoyilmoq; og’izga tushmoq.,,,,,,,Nomi tillarda doston bo’lgan rus olimlarining kelishini Feruza sabrsizlik bilan kutdi,,
DOV-DASTGOHNI YIG’ISHTIRMOQ,,(yoki,,,,,,,,,
KO’TARMOQ,,),,,taxta-o’qlog’ini yig’ishtirmoq,,,,"«Povurkon» mollari har yoqni to’ldirib, kosiblarning bozorini kasod qilganligi, ishi chippakka chiqqan kosiblar birin-ketin «taxta-o’qlog’ini» yig’ishtirayotganligi va hokazoni tasvirlab ketdi.",,
DOG’ TEKKIZMASLIK,kim? nimaga?,"badnom bo’lishiga, salbiy fikr tug’ilishiga yo’l qo’ymaslik.",,,,,,,"Mahkam eshituvchilarni o’z guruhlarining obro’siga dog’ tekkizmaslikka chorlab «mehmon» so’zini ta’kidlab aytdi. Mahallamning birmuncha obro’li odamiman, Olimxon aka. Alhamdulillo, shu vaqtgacha nomimga dog’ tegdirgan emasman",P.Qodirov,Uch ildiz
DOG’ TUSHIRMOQ,kim? nimaga?,"ijobiy holatga, mavqega zarar yetdi.",,,DOG’ TUSHDI,,,,"Nomiga dog’ tushgan kishining qizi ekanini o’ylagani sari so’nggi taxmini ustun chiqardi. Yo’q, – Nozima bosh chayqadi, – kelinchakning sha’niga dog’ tushishi mumkin.",T.Malik,Charxpalak
DOG’DA KUYMOQ,kim? kimning?,ruhiy azoblanmoq.,,,,,,,"Tag’in boshqa bilan bo’lib, meni dog’da kuydirmang",K.Yashin,Yondiramiz
DOG’DA QOLMOQ,kim?,"biror narsaning kutilgancha bo’lmagani tufayli o’kinmoq, alamzada bo’lmoq.",,,dog’da qoldirmoq,,,,"Shu qilganiga Sobirvoyga onasi o’pmagan qirq kokilni olib berayki, dog’da qolsin! O’yin boshlanishi bilan mehmonlar darhol hujumga o’tishdi-da, komandamizni dog’da qoldirib, darvozamizga boplab to’p urib qo’yishdi.",A.Muhiddin,Ko’ngillar
DONG QOTIB,kim?,"hech narsani sezmas darajada, qattiq (uxlamoq).",,,,,,,Yigitlar bo’lsa dong qotib uxlashardi. Chol esa o’zining hikoyasi-yu achchiq-chuchuk gaplari bilan yosh yigitning qalbida chuqur muhabbat uyg’otganini bilmasdan dong qotib uxlaydi.,O.Yoqubov,Qahramon izlab
DONG QOTMOQ,kim?,"kutilmagan hodisaga duch kelib, karaxt bo’lib qolmoq.",,I,dong qotib; dong qotmoq,,,,"Ko’chadan shu chog’ kelgan Karimqulning nabirasi eshonni ko’rgach, bir lahza og’zini ochib dong qotdi .Lola tuzukmi, ayajon?» Xotin turgan yerida dong qotib qoldi. Qunduz uni «ayajon» deb atadi... Buguncha birga yotmaylik, – dedi u. O’rin solayotgan Nozima yostiqni ushlagancha dong qotdi.",T.Malik,Charxpalak
DONG QOTMOQ,kim?,hech narsani sezmas darajada qattiq uxlamoq.,,II,dong qotib II,,,,"Juda charchagan ekan, yotdi-yu, dong qotdi U ariqning bo’yida, qanday yotgan bo’lsa o’shandayligicha dong qotib uxlab yotardi.",,
DUM BERIB QOLMOQ,kim?,"pishmoq, yetilmoq, tugab qolmoq (qarilarga oid)",,,,,,,". Bu yil dumlaringiz tugiladigan yil. Vaqti-soatlaring tugab, palaklaring sarg’ayib, dum berib turibsizlar",,
DUMIGA CHANGAL BOG’LANMOQ,kim? kimning?,"qiyin ahvolga solmoq, azoblanmoq, qiynamoq",,,,,,,"… Yerni suv buzadi, odamni – gap, deganlariday, shunaqa «dedi-qo’ydi»lar ko’paya bersa, o’zingizga ham, bizning dumimizga ham changal bog’laysiz.",S.Ayniy,Doxunda
DUMIGA QUMG’ON BOG’LAMOQ,kim?,holiga qaramay ish qilish.,,,,,,,"…Shunchalik holing bor ekan, dumingga qumg’on bog’lashing nima hojat edi, deb kulaman. Egri to’nkaga – egri to’qmoq.",A.Qodiriy,Mehrobdan chayon
DUMINI LIKILLATMOQ,kim?,xushomadgo’ylik qilmoq.,,,,,,,"Shunday ham odam bo’ladimi, Satinboyvachcha, Sotvoldi oqsoqollarnikiga borganda, dumingizni likillatib, hammani bir chetdan chaynab o’tar emishsiz; gap keldi gapirdim.",H.Shams,Dushman
DUM(I)NI QISMOQ,kim? kimning? yoki [o’zining],qo’rqitish natijasida faoliyat doirasini toraytirmoq.,,,,,,,"Maskovga, Varshavaga va hokazo shaharlarga o’zlari mol olib borsinlar, u yerlardan o’zlari mol keltirsinlar deyman. O’rtadagi shu yahudiy, o’ris savdogarlarning dumini qisib qo’yish kerak deyman. Na tish-tirnoqlari, na farosati, na so’zlari bilan ustun keldi. Laycha kabi dumini qisdi-yu, qochvordi.",T.Malik,Charxpalak
